,feat1_0,feat1_1,feat1_2,feat1_3,feat1_4,feat1_5,feat1_6,feat1_7,feat1_8,feat1_9,feat2_0.3,feat2_0.4,feat2_0.5,feat2_0.6,feat2_0.7,feat2_0.8,feat2_0.9,feat3_eq_0,feat3_eq_1,feat3_eq_2,feat3_eq_3,feat3_eq_4,feat3_bd_0,feat3_bd_1,feat3_com_0,feat3_com_1,feat3_com_2,feat4_eq_0.3,feat4_eq_0.4,feat4_eq_0.5,feat4_eq_0.6,feat4_eq_0.7,feat4_eq_0.8,feat4_eq_0.9,feat4_bd_0.3,feat4_bd_0.4,feat4_bd_0.5,feat4_bd_0.6,feat4_bd_0.7,feat4_bd_0.8,feat4_bd_0.9,feat4_com_0.3,feat4_com_0.4,feat4_com_0.5,feat4_com_0.6,feat4_com_0.7,feat4_com_0.8,feat4_com_0.9,feat5_0,feat5_1,feat5_2,feat5_3,feat6_eq_max,feat6_eq_min,feat6_bd_max,feat6_bd_min,feat6_com_max,feat6_com_min
52,0.3853506169934614,0.2132130334557425,0.1666322209309569,0.0676872380526923,0.0555618781276104,0.0264910816335398,0.0162593264253639,0.012962170788833,0.0108446190768505,0.0101510793752026,1,2,2,3,3,4,6,0.6133870511071088,0.1929360014870206,0.0508207470665095,0.046042677401388,0.0244754860721893,0.7870751168203365,0.2054145149932532,0.5144664100236204,0.2750088390831148,0.091710840215082,1,1,1,1,2,2,4,1,1,1,1,1,2,2,1,1,1,2,2,3,4,0.569021004598331,0.2226170275463439,0.0584268403615443,0.0537965798783646,0.0328845138293006,-0.0442120181288474,0.0068099969470319,-0.006429442540178,0.064827163079249,-0.0495423266719861
178,0.5694472805668956,0.1655711282514126,0.0822750312664316,0.0558935731038658,0.0257178921949995,0.0244930069173795,0.0176532211778837,0.0157026367599423,0.0089558796463345,0.0076073079656756,1,1,1,2,2,3,6,0.7589981310725493,0.0973223386397936,0.051815759905894,0.0250994643025054,0.0217412775699462,0.5407224043867798,0.4499767509841151,0.6867387578782256,0.1399401430898373,0.0917133284613588,1,1,1,1,1,2,3,1,1,1,2,2,2,2,1,1,1,1,2,2,3,0.7334457264286095,0.1108646366578989,0.0553974035409769,0.0290965161075479,0.0437636537750412,-0.0462288833508902,0.0098321207216787,-0.0143598659246206,0.1063769480678835,-0.0739134133152728
171,0.4324167265294326,0.1731959156653761,0.1378303631255049,0.0903023673363808,0.0660142466784737,0.0236833123923825,0.0186830715726977,0.0112992092645152,0.0092083862219505,0.0069574958515748,1,1,2,2,3,4,6,0.6862694084553185,0.0857298623856427,0.0660409756866889,0.0479793235540361,0.0308271298692386,0.924359758921929,0.0672205167183557,0.551276589613537,0.2028643764740725,0.1188772576250326,1,1,1,1,2,3,5,1,1,1,1,1,1,1,1,1,1,2,2,3,4,0.6545563905796713,0.0967584788058664,0.0740864043922402,0.0544797413581251,0.0227778932403099,-0.0246941017060527,0.0072954144845994,-0.0079507826957666,0.0771784560733908,-0.0682256858300847
36,0.2802239845072964,0.2581871777595741,0.1459098978835512,0.1063816225034705,0.0565689144928538,0.0359820459669647,0.0266286830555167,0.0220191181771503,0.01550833158545,0.0108089781040753,2,2,2,3,4,5,7,0.6927793209421131,0.0787340429588409,0.0668782817666837,0.0430942268459373,0.0376373575744946,0.8735286221386929,0.1240415671056729,0.4164444493397192,0.2201465085225342,0.1911809778190009,1,1,1,1,2,3,5,1,1,1,1,1,1,2,1,1,2,2,3,3,4,0.6552372740073377,0.0905151501302427,0.080494585379064,0.0489749577216502,0.033913529086285,-0.0313309919560726,0.0101869607652605,-0.0063958137299591,0.0567549032927606,-0.0834472882271112
54,0.4067259044302195,0.2083371807867134,0.1437155143016592,0.0750803164595738,0.0610604649947163,0.0285964181227807,0.0153557824006913,0.0113261672704886,0.0093908227908906,0.0070377738538241,1,1,2,2,3,4,6,0.5762987290868574,0.2268910670725435,0.0488706653354396,0.0333856422672467,0.0290729586888039,0.909522826694501,0.0864265555505728,0.5216155138231995,0.2533608175310852,0.1042511202261695,1,1,1,2,2,2,5,1,1,1,1,1,1,1,1,1,1,2,2,3,4,0.5290435725079033,0.2636153304361354,0.0564827171845485,0.037942569253125,0.0328845138293006,-0.0226613871997492,0.0054824543391692,-0.0055081797987334,0.067361912566593,-0.0452387854788442
129,0.6826401346988459,0.125270029014353,0.0758520975208667,0.0284074262314425,0.0244440753136657,0.0125798740436738,0.0113800958685732,0.009180561171855,0.0070585480077074,0.0056030374126827,1,1,1,1,2,2,4,0.9250325399757412,0.0202506855835669,0.0185620804621215,0.0110124809114058,0.0061749168178616,0.6264092809870536,0.3649572157026909,0.620445355987882,0.1973081061854932,0.0736957720501999,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,4,0.9130473097319052,0.0243678693670063,0.0231785193372377,0.0132738284339489,0.0636807191444848,-0.0559948418645359,0.0102749383185734,-0.0163179637249812,0.072320661579626,-0.0772687807908111
139,0.3918741832916104,0.1587841909582378,0.1358952266208225,0.1218621524748629,0.0794869129324132,0.026565215372536,0.018765237801515,0.0136850293764768,0.012578521410076,0.0093522320269103,1,2,2,3,4,4,6,0.7186195373891904,0.0917485328513252,0.0566421695635617,0.0339244536511963,0.0320212147512611,0.8512543123683616,0.1323459344529822,0.3834525185186787,0.2434112239868561,0.1872114800718149,1,1,1,1,1,2,4,1,1,1,1,1,1,2,1,2,2,2,3,3,4,0.6941705045289358,0.1066588525161773,0.0636847320335433,0.037514715184555,0.0255536928061953,-0.0306216784094488,0.005153370140141,-0.0061903925274241,0.076185194525601,-0.0416657500989526
86,0.3896308866036006,0.3188520564734932,0.0933924825720911,0.0553526513201892,0.0475378777642573,0.0256785604075074,0.0131938189572467,0.0109089039822926,0.0092869542991397,0.0083352165317958,1,2,2,2,2,3,5,0.7312295881083605,0.1468850682423295,0.0315742984335505,0.0221395738272997,0.0195692764170593,0.8327397593283725,0.14071422368919,0.5845266374221433,0.2041640873438668,0.0998616933984095,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,2,2,3,4,0.695534589421005,0.1703485342666979,0.0363861833752286,0.0253042116315867,0.0814985795786899,-0.0649406615678325,0.0090398257604024,-0.0105364701249301,0.0636578517719774,-0.1132696028574275
151,0.359222040041835,0.2364118417952776,0.1302169690293544,0.0896063096411153,0.0686145017649423,0.0324310166991779,0.0178600230998597,0.0138077668021445,0.010071299666562,0.00917583871409,1,2,2,3,3,4,6,0.7277535648085481,0.0915419908487557,0.0517221623658233,0.0312001330521541,0.0232043793410783,0.9221689131676156,0.0702264318406376,0.5150101134284322,0.2082977113764495,0.1315605340712376,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,2,3,4,0.6959634150145474,0.104043376692705,0.0606524093941095,0.0350349787392066,0.02955417975608,-0.0245705187839642,0.008558902819813,-0.0070664822946144,0.0773569887040716,-0.0624530146465497
124,0.4920637751769305,0.1660457223263229,0.1363346301505872,0.0890835732342798,0.056165898309781,0.0144469761437382,0.0101795508602672,0.0074646565691082,0.0053407585961856,0.0048602163592888,1,1,2,2,3,4,5,0.8037795286327907,0.0640344830427571,0.0344320070285278,0.0281988749770172,0.0204577947134949,0.9078004515032536,0.0834519142515235,0.5744791969499522,0.1897105123927704,0.1232607214864556,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,3,4,0.7719011523566814,0.0770499007051922,0.039542648621161,0.0336945688040459,0.0266389958710229,-0.0354416691164601,0.0083095945702073,-0.0058951581250729,0.0683377781127211,-0.1040878460619319
