,month_start_date,month_end_date,Max Sharpe
0,2001-04-02,2001-04-30,0
1,2001-05-01,2001-05-31,2
2,2001-06-01,2001-06-29,1
3,2001-07-02,2001-07-31,2
4,2001-08-01,2001-08-31,2
5,2001-09-04,2001-09-28,0
6,2001-10-01,2001-10-31,2
7,2001-11-01,2001-11-30,0
8,2001-12-03,2001-12-28,1
9,2002-01-02,2002-01-31,2
10,2002-02-01,2002-02-28,1
11,2002-03-01,2002-03-28,2
12,2002-04-02,2002-04-30,2
13,2002-05-01,2002-05-31,1
14,2002-06-05,2002-06-28,0
15,2002-07-01,2002-07-31,2
16,2002-08-01,2002-08-30,2
17,2002-09-03,2002-09-30,2
18,2002-10-01,2002-10-31,0
19,2002-11-01,2002-11-27,2
20,2002-12-02,2002-12-31,2
21,2003-01-02,2003-01-31,1
22,2003-02-03,2003-02-28,2
23,2003-03-03,2003-03-31,2
24,2003-04-01,2003-04-30,2
25,2003-05-01,2003-05-30,1
26,2003-06-02,2003-06-30,2
27,2003-07-01,2003-07-31,0
28,2003-08-01,2003-08-29,1
29,2003-09-02,2003-09-30,2
30,2003-10-01,2003-10-31,2
31,2003-11-03,2003-11-26,2
32,2003-12-01,2003-12-31,2
33,2004-01-05,2004-01-30,2
34,2004-02-02,2004-02-27,1
35,2004-03-01,2004-03-31,2
36,2004-04-01,2004-04-30,0
37,2004-05-04,2004-05-28,0
38,2004-06-01,2004-06-30,2
39,2004-07-01,2004-07-30,2
40,2004-08-02,2004-08-31,2
41,2004-09-01,2004-09-30,2
42,2004-10-01,2004-10-29,2
43,2004-11-01,2004-11-30,2
44,2004-12-01,2004-12-30,2
45,2005-01-04,2005-01-31,2
46,2005-02-01,2005-02-28,2
47,2005-03-01,2005-03-31,0
48,2005-04-01,2005-04-29,2
49,2005-05-03,2005-05-31,2
50,2005-06-01,2005-06-30,2
51,2005-07-01,2005-07-29,0
52,2005-08-01,2005-08-31,2
53,2005-09-01,2005-09-30,1
54,2005-10-03,2005-10-31,2
55,2005-11-01,2005-11-30,1
56,2005-12-01,2005-12-30,2
57,2006-01-03,2006-01-31,2
58,2006-02-01,2006-02-28,2
59,2006-03-01,2006-03-31,0
60,2006-04-03,2006-04-28,2
61,2006-05-01,2006-05-31,2
62,2006-06-01,2006-06-30,1
63,2006-07-03,2006-07-31,2
64,2006-08-01,2006-08-31,2
65,2006-09-01,2006-09-29,2
66,2006-10-02,2006-10-31,2
67,2006-11-01,2006-11-30,2
68,2006-12-01,2006-12-29,2
69,2007-01-03,2007-01-31,2
70,2007-02-01,2007-02-28,2
71,2007-03-01,2007-03-30,0
72,2007-04-02,2007-04-30,2
73,2007-05-01,2007-05-31,2
74,2007-06-01,2007-06-29,0
75,2007-07-02,2007-07-31,0
76,2007-08-01,2007-08-31,2
77,2007-09-04,2007-09-28,1
78,2007-10-01,2007-10-31,1
79,2007-11-01,2007-11-30,2
80,2007-12-03,2007-12-31,1
81,2008-01-02,2008-01-31,1
82,2008-02-01,2008-02-29,1
83,2008-03-03,2008-03-31,2
84,2008-04-01,2008-04-30,2
85,2008-05-01,2008-05-30,0
86,2008-06-02,2008-06-30,0
87,2008-07-01,2008-07-31,2
88,2008-08-01,2008-08-29,2
89,2008-09-02,2008-09-30,0
90,2008-10-01,2008-10-31,0
91,2008-11-03,2008-11-28,2
92,2008-12-01,2008-12-31,2
93,2009-01-02,2009-01-30,0
94,2009-02-02,2009-02-27,2
95,2009-03-02,2009-03-31,2
96,2009-04-01,2009-04-30,1
97,2009-05-01,2009-05-29,1
98,2009-06-01,2009-06-30,2
99,2009-07-01,2009-07-31,2
100,2009-08-03,2009-08-31,2
101,2009-09-01,2009-09-30,2
102,2009-10-01,2009-10-30,2
103,2009-11-02,2009-11-30,2
104,2009-12-01,2009-12-31,0
105,2010-01-04,2010-01-29,2
106,2010-02-01,2010-02-26,2
107,2010-03-01,2010-03-31,2
108,2010-04-01,2010-04-30,1
109,2010-05-03,2010-05-28,0
110,2010-06-01,2010-06-30,2
111,2010-07-01,2010-07-30,2
112,2010-08-02,2010-08-31,1
113,2010-09-01,2010-09-30,1
114,2010-10-01,2010-10-29,2
115,2010-11-01,2010-11-30,0
116,2010-12-01,2010-12-31,0
117,2011-01-04,2011-01-31,2
118,2011-02-01,2011-02-28,2
119,2011-03-01,2011-03-31,2
120,2011-04-01,2011-04-29,2
121,2011-05-02,2011-05-31,2
122,2011-06-01,2011-06-30,0
123,2011-07-01,2011-07-29,2
124,2011-08-01,2011-08-31,1
125,2011-09-01,2011-09-30,2
126,2011-10-03,2011-10-31,1
127,2011-11-01,2011-11-30,2
128,2011-12-01,2011-12-30,2
129,2012-01-03,2012-01-31,1
130,2012-02-01,2012-02-29,0
131,2012-03-01,2012-03-30,2
132,2012-04-02,2012-04-30,2
133,2012-05-01,2012-05-31,2
134,2012-06-01,2012-06-29,2
135,2012-07-02,2012-07-31,2
136,2012-08-01,2012-08-31,0
137,2012-09-04,2012-09-28,2
138,2012-10-01,2012-10-31,2
139,2012-11-01,2012-11-30,2
140,2012-12-03,2012-12-31,2
141,2013-01-02,2013-01-31,0
142,2013-02-01,2013-02-28,2
143,2013-03-01,2013-03-28,2
144,2013-04-01,2013-04-30,2
145,2013-05-01,2013-05-31,0
146,2013-06-03,2013-06-28,0
147,2013-07-01,2013-07-31,0
148,2013-08-01,2013-08-30,0
149,2013-09-03,2013-09-30,2
150,2013-10-01,2013-10-31,2
151,2013-11-01,2013-11-29,2
152,2013-12-02,2013-12-31,2
153,2014-01-02,2014-01-31,2
154,2014-02-03,2014-02-28,2
155,2014-03-03,2014-03-31,1
156,2014-04-01,2014-04-30,2
157,2014-05-01,2014-05-30,2
158,2014-06-02,2014-06-30,2
159,2014-07-01,2014-07-31,0
160,2014-08-01,2014-08-29,2
161,2014-09-02,2014-09-30,0
162,2014-10-01,2014-10-31,2
163,2014-11-03,2014-11-28,2
164,2014-12-01,2014-12-31,1
165,2015-01-02,2015-01-30,2
166,2015-02-02,2015-02-27,0
167,2015-03-02,2015-03-31,2
168,2015-04-01,2015-04-30,2
169,2015-05-01,2015-05-29,2
170,2015-06-01,2015-06-30,0
171,2015-07-01,2015-07-31,2
172,2015-08-03,2015-08-31,0
173,2015-09-01,2015-09-30,1
174,2015-10-01,2015-10-30,1
175,2015-11-02,2015-11-30,0
176,2015-12-01,2015-12-31,0
177,2016-01-04,2016-01-29,2
178,2016-02-01,2016-02-29,1
179,2016-03-01,2016-03-31,2
180,2016-04-01,2016-04-29,1
181,2016-05-02,2016-05-31,0
182,2016-06-01,2016-06-30,2
183,2016-07-01,2016-07-29,2
184,2016-08-01,2016-08-31,2
185,2016-09-01,2016-09-30,0
186,2016-10-03,2016-10-31,2
187,2016-11-01,2016-11-30,0
188,2016-12-01,2016-12-30,0
189,2017-01-03,2017-01-31,1
190,2017-02-01,2017-02-28,2
191,2017-03-01,2017-03-31,2
192,2017-04-03,2017-04-28,2
193,2017-05-01,2017-05-31,2
194,2017-06-01,2017-06-30,2
195,2017-07-03,2017-07-31,2
196,2017-08-01,2017-08-31,2
197,2017-09-01,2017-09-29,0
198,2017-10-02,2017-10-31,2
199,2017-11-01,2017-11-30,0
200,2017-12-01,2017-12-29,0
201,2018-01-02,2018-01-31,0
202,2018-02-01,2018-02-28,0
203,2018-03-01,2018-03-29,2
204,2018-04-02,2018-04-30,0
205,2018-05-01,2018-05-31,1
206,2018-06-01,2018-06-29,0
207,2018-07-02,2018-07-31,2
208,2018-08-01,2018-08-31,2
209,2018-09-04,2018-09-28,0
210,2018-10-01,2018-10-31,0
211,2018-11-01,2018-11-30,2
212,2018-12-03,2018-12-31,2
213,2019-01-02,2019-01-31,1
214,2019-02-01,2019-02-28,0
215,2019-03-01,2019-03-29,2
216,2019-04-01,2019-04-30,2
217,2019-05-01,2019-05-31,2
218,2019-06-03,2019-06-28,2
